,Episode Number,Title,Plot,Release Date,Average Rating
36,37,Luffy Tatsu! Uragirareta Yakusoku no Ketsumatsu!,"When marine officers under Arlong confiscate Nami's money, the villagers start a rebelion. Desperate, Nami asks Luffy for help.","Wed, Aug 16, 2000",9.2
37,38,Luffy Dai Pinch! Gyojin Tai Luffy Kaizokudan,The Straw Hats face the Fishmen themselves as the villagers watch from the sidelines.,"Wed, Aug 23, 2000",8.2
38,39,Luffy Suibotsu! Zoro vs Tako no Hacchan,Arlong has trapped Luffy in the ocean and Zoro faces the six-sword wielding octopus Hatchan.,"Wed, Aug 30, 2000",8.0
39,40, Hokoritakaki Senshi! Gekitou Sanji to Usopp,"With Hatchan defeated, two of the fishmen battle Sanji and Usopp.","Wed, Sep 6, 2000",8.0
40,41,Luffy Zenkai! Nami no Ketsui to Mugiwara Boushi,"With Arlong's officers defeated Zoro and Sanji take on Arlong but prove that they aren't a match for him. However, with Luffy finally free, he takes on Arlong himself.","Wed, Sep 13, 2000",8.1
41,42,Sakuretsu! Gyojin Arlong Umi kara no Moukougeki!,"Luffy returns to the fight, and the battle with Arlong versus Luffy begins.","Wed, Sep 27, 2000",8.0
42,43,Gyojin Teikoku no Owari! Nami wa Ore no Nakama Da!,The battle spreads into Arlong Park itself and Arlong is no longer holding back.,"Wed, Sep 27, 2000",8.6
43,44,Egao no Tabidachi! Saraba Furusato Cocoyashi Mura,"Arlong's reign of terror is over, and no one has anything on their mind except to party. As the crew celebrates, Nami reflects on her hometown and decides to officially join the Straw Hat Pirates.","Wed, Oct 11, 2000",7.9
44,45, Joukinkubi! Mugiwara no Luffy Yo ni Shirewataru,"With Buggy, Krieg and Arlong defeated, Luffy now has the highest bounty in East Blue.","Wed, Oct 25, 2000",7.7
45,46,Mugiwara o Oe! Chiisana Buggy no Daibouken,"After his fight with Luffy, Buggy was sent flying to another island with several body parts missing. Thus, Buggy begins his journey to find his crew and his body parts, making some unlikely friends.","Wed, Nov 1, 2000",6.3
46,47, Omachikane! Aa Fukkatsu no Buggy Senchou!,"With Buggy assumed to be dead, his crew fights over who will be the new captain.","Wed, Nov 8, 2000",6.2
47,48,Hajimari to Owari no Machi: Loguetown Jouriku,"The crew arrives at the last large town before the entrance to the Grand Line: Loguetown, the place where Gold Roger was both born and executed.","Wed, Nov 22, 2000",7.8
48,49,Sandai Kitetsu to Yubashiri! Zoro no Shintou to Onna Souchou,"While searching for a pair of new swords to replace the ones shattered by Mihawk, Zoro meets a woman named Tashigi. At first sight, she looks exactly like Kuina.","Wed, Nov 22, 2000",7.9
49,50,Usopp Tai Kozure no Daddy: Mahiru no Kettou,"Usopp manages to anger the daughter of bounty hunter Daddy the Father, and finds his own life at stake when he challenges Daddy to a duel.","Wed, Nov 29, 2000",7.4
50,51,Honoo no Ryouri Battle? Sanji VS Bijin Chef,Sanji enters a cooking contest against a woman named Five-Alarm Carmen for a fish that he has always dreamed of cooking.,"Wed, Dec 6, 2000",6.9
51,52,Buggy no Revenge! Shokeidai de Warau Otoko!,Zoro and Sanji show up too late to stop Buggy.,"Wed, Dec 13, 2000",8.2
52,53,Densetsu wa Hajimatta! Mezase Grand Line,"Miraculously saved from death by an unnatural green gust and a lightning bolt to Buggy, the Straw Hats rush out of Loguetown.","Wed, Jan 10, 2001",8.4
53,54,Aratanaru Bouken no Yokan! Nazo no Shoujo Apis,"On a stormy night, a girl called Apis escapes from the Marines and is found drifting by the Straw hats.","Wed, Jan 17, 2001",7.0
54,55,Kiseki no Seibutsu! Apis no Himitsu to Densetsu no Shima,The Calm Belt is revealed to have no winds or currents as well as being the home of many giant sea kings.,"Wed, Jan 24, 2001",6.7
55,56,Eric Shutsugeki! Gunkanjima kara no Daidasshutsu!,"Now that the crew understand why Apis was followed, they hurry to escape the island so Ryuuji can be saved.","Wed, Jan 31, 2001",6.6
56,57,Zekkai no Kotou! Densetsu no Lost Island,"After arriving at what seemed to be Lost Island, the Straw Hats find an old Temple with paintings that might indicate where the Lost Island really is.","Wed, Feb 7, 2001",6.5
57,58,Haikyo no Kettou! Kinpaku no Zoro VS Erik!,"Zoro tries to fight Erik, but Erik is more interested in chasing the dragon.","Wed, Feb 21, 2001",6.6
58,59,Luffy Kanzen Houi! Teitoku Nelson no Hisaku,Admiral Nelson has mobilized the full extent of the 8th fleet.,"Wed, Feb 21, 2001",6.9
59,60,Oozora o Mau Mono! Yomigaeru Sennen no Densetsu!,Luffy talks to Ryuuji in his final moments and comes to understand just what is going on. The flock of dragons returns just as Lost Island begins to re-surface.,"Wed, Feb 28, 2001",7.0
60,61,Ikari no Kecchaku! Red Line o Norikoero!,The Straw Hats depart for the Grand Line.,"Wed, Mar 7, 2001",7.5
61,62,Saisho no Toride? Kyodai Kujira Laboon Arawaru,"As the Straw Hats ride down Reverse Mountain into the Grand Line, a huge whale appears in front of them.","Wed, Mar 21, 2001",7.6
62,63,Otoko no Yakusoku! Luffy to Kujira Saikai no Chikai,"While guiding them out of the giant whale, Laboon, its caretaker, Crocus, tells the whale's story to the Straw Hats.","Wed, Mar 21, 2001",7.5
63,64,Kaizoku Kangei no Machi? Whiskey Peak Jouriku,The weather changes rapidly on the first leg of their journey from Reverse Mountain to Whiskey Peak.,"Sun, Apr 15, 2001",7.6
64,65,Sakuretsu Santouryuu! Zoro VS Baroque Works!,Zoro lets loose on the bounty hunters.,"Sun, Apr 15, 2001",8.1
65,66,Shinken Shoubu! Luffy VS Zoro Nazo no Daikettou!,Mr. 5 and Miss Valentine follow after Vivi; Luffy wants to fight Zoro.,"Sun, Apr 22, 2001",8.0
66,67,Oujo Vivi o Todokero! Luffy Kaizoku Dan Shukkou,Luffy agrees to take Vivi with them.,"Sun, Apr 29, 2001",7.8
67,68,Ganbare Coby! Coby-Meppo Kaigun Funtou Ki,Coby and Helmeppo have enlisted into the navy as odd-jobbers.,"Sun, May 13, 2001",6.7
68,69,Coby-Meppo no Ketsui! Garp Chuujou no Oyagokoro,Coby and Helmeppo are mentored by Vice Admiral Garp in becoming marines.,"Sun, May 20, 2001",6.8
69,70,Taiko no Shima! Little Garden ni Hisomu Kage!,"As the Straw Hats sail toward Little Garden, the Baroque Works officer agents Mr. 3 and his partner Miss Golden Week receive new orders.","Sun, May 27, 2001",7.1
70,71,Dekkai Kettou! Kyojin Dorry to Brogy,"Nami and Usopp are taken into Brogy's camp, meanwhile, Vivi and Luffy meet another giant, Dorry. They reveal that they will fight against each other whenever the volcano on the island erupts.","Sun, Jun 3, 2001",7.3
71,72,Luffy Ikaru! Seinaru Kettou ni Hiretsu na Wana!,"Brogy gives Dorry booze from Nami and Usopp. The booze explodes when Dorry drinks it. The duel starts once again, and even though his chance to win is very low due to his injury, Dorry still heads into the battle.","Sun, Jun 17, 2001",7.3
72,73,Brogy Shouri no Goukyuu! Elbaf no Kecchaku,The salvage of a hundred year duel ends?,"Sun, Jun 24, 2001",7.4
73,74,Ma no Candle! Munen no Namida to Ikari no Namida,"Mr. 3 manages to capture Broggy with his wax. He also captures Vivi, Nami and Zoro, and tries to turn them into wax figures.","Sun, Jul 15, 2001",7.6
74,75,Luffy o Osou Maryoku! Colors Trap,"Luffy tries to save Nami, Vivi and Zoro who are almost turned into wax figures. However, Miss Golden Week, partner of Mr. 3, keeps Luffy busy with her colors trap.","Sun, Aug 12, 2001",7.6
75,76,Iza Hangeki! Usopp no Kiten to Kaenboshi!,"With Vivi, Nami, and Zoro are almost petrified completely by the wax and Luffy is trapped by Miss Golden Week's power, Usopp is the only one left to save them all.","Sun, Aug 19, 2001",7.7
76,77,Saraba Kyojin no Shima! Arabasuta o Mezase,"After defeating Baroque Works on the island, Straw Hat Pirate sets sail to Arabasta. Brogy and Dorry set them off and help them escape from the giant goldfish that tries to eat Going Merry.","Sun, Aug 19, 2001",7.5
77,78,Nami ga Byouki? Umi ni Furu Yuki no Mukou ni!,"Luffy's crew gets a trouble when their navigator, Nami, is sick, and they do not have a doctor on the ship.","Sun, Aug 26, 2001",7.2
78,79,Kishuu! Bliking Gou to Blik no Wapol,"Straw Hat crew tries to find a doctor in a nearby island, but they are attacked by the pirate Wapol.","Sun, Sep 2, 2001",7.6
79,80,Isha no Inai Shima? Na mo Naki Kuni no Bouken!,"Not only that the island has no name, it doesn't have a doctor as well. The only one called doctor lives in the castle on the mountain's top. Sanji and Luffy go taking Nami there, while Vivi and Usopp stay behind, and listen to the history of the island from Dalton.","Sun, Sep 9, 2001",7.6
80,81,Happy kai? Majo to Yobareta Isha!,"It turns out that Dr. Kureha is on the other side of the island, and Usopp, Vivi and Dalton rush to find her. However, Dalton returns to the village after heard that Wapol comes back.","Sun, Sep 16, 2001",7.6
81,82,Dolton no Kakugo! Wapol Gundan Shima ni Jouriku,"Dalton faces Wapol, who wants to take over the island once more, but gets hit by arrows. The avalanche stops, and it injures Sanji. It is up for Luffy now to climb the mountain to save both Nami and Sanji.","Sun, Oct 7, 2001",7.6
82,83,Yuki no Sumu Shima! Drum-Rocky o Nobore!,Avalanche aftermath & the mountain climbing on the Drum Rockies.,"Sun, Oct 7, 2001",8.0
83,84,Tonakai wa Aoppana! Chopper no Himitsu,"Nami asks Chopper to join Straw Hat's crew, but the reindeer refuses. Knowing Chopper's unique ability, Luffy is also interested to have him as the crew.","Sun, Oct 21, 2001",7.9
84,85,Hamidashi Mono no Yume! Yabuisha Hiluluk!,"It is a flashback to the past of Chopper and Dr. Hiruluk, the first human shows him affection, told by Dr. Kureha.","Sun, Oct 28, 2001",8.4
85,86,Hiluluk no Sakura to Uketsugareyuku Ishi!,Flashbacks revealing the death of Dr. Hiruluk and the cruelty of Wapol as the king at that time and how Chopper is encouraged to carry on Dr. Hiruluk's will.,"Sun, Nov 4, 2001",9.3
86,87,Versus Wapol Gundan! Bakubaku no Mi no Nouryoku!,"Wapol has arrived to the castle and wants to take down Hirulug's flag. He and his crew engage in a battle with Luffy, Sanji and Chopper trying protect the flag.","Sun, Nov 11, 2001",8.0
87,88,Zoan-kei Akuma no Mi! Chopper Nanadan Henkei,Chopper fights against one of Wapol's crew. He shows his ability to transform into seven forms using Rumble Ball which he creates by himself.,"Sun, Nov 18, 2001",7.8
88,89,Oukoku no Shihai Owaru Toki! Shinnen no Hata wa Eien ni,The rest of Luffy's crew and the villagers find the ropeway Dr. Kureha uses to go from the castle to the village and vice versa. Meanwhile. Luffy manages to defeat Wapol.,"Sun, Nov 25, 2001",7.7
89,90,Hiluluk no Sakura! Drum Rocky no Kiseki,"Chopper is finally convinced to join Luffy's crew, and though Dr. Kureha is not too happy with the idea of Chopper being a pirate, she gives him a very remarkable farewell gift.","Sun, Dec 2, 2001",8.8
90,91,Sayonara Drum-tou! Boku wa Umi e Deru!,Straw Hat's crew continues their journey to Vivi's homeland.,"Sun, Dec 9, 2001",7.9
91,92,Arabasta no Eiyuu to Senjou no Ballerina,Luffy and Usopp accidentally fish Mr. 2 Bon Clay who spends a short time with Straw Hat crew showing off the ability of his devil fruit.,"Sun, Dec 9, 2001",7.6
92,93,Iza Sabaku no Kuni e! Ame o Yobu Kona to Hanrangun,"Straw Hat crew arrives at Nanohana, the port city of Alabasta. Luffy gets separated from the others, and somehow learns about Dance Powder.","Sun, Dec 16, 2001",7.2
93,94, Gouketsu-tachi no Saikai! Yatsu no Na wa Hiken no Ace,"Straw Hat crew meets Smoker and Tashigi. Smoker almost corners them when suddenly a powerful pirate appears to save Luffy. Luffy reveals him as Portgas D. Ace, his older brother.","Sun, Dec 23, 2001",8.9
94,95,Ace to Luffy! Atsuki Omoi to Kyoudai no Kizuna,Luffy and his crew manages to run away from Smoker and they meet Ace in their ship. Ace reveals that he is in a mission of searching for a man named Blackbeard.,"Sun, Jan 6, 2002",8.2
95,96,Midori no Machi Erumaru to Kung Fu Jugon!,"Ace joins Luffy crew's journey temporarily and they go to the 'Green City' of Erumalu, which is only a desert now.","Sun, Jan 13, 2002",7.3
96,97,Suna no Kuni no Bouken! Ennetsu no Daichi ni Sumu Mamono,Straw Hat crew's journey through the desert after leaving Erumalu.,"Sun, Jan 20, 2002",7.2
97,98,Sabaku no Kaizokudan Toujou! Jiyuu ni Ikiru Otoko-tachi,"Straw Hat crew meets the Desert Pirates, and Vivi realizes she knows the girl from the Desert Pirates when they were still young girls.","Sun, Jan 27, 2002",7.0
98,99,Nisemono no Iji! Kokoro no Hanrangun Kamyu!,Straw Hat crew helps Vivi testing a group of men pretending to be Rebel Army who guard a small village.,"Sun, Feb 3, 2002",6.9
99,100,Hanrangun Senshi Kouza! Vivi ni Chikatta Yume!,"Luffy and crew take a break for lunch in the desert, and Vivi reveals her past with Kohza, the leader of the Rebel Army.","Sun, Feb 10, 2002",7.5
100,101,Kagerou no Kettou! Ace vs Otoko Scorpion,"Ace pursues a bounty hunter who claims he has defeated Blackbeard, only to find that it is a total lie. Ace concludes that Blackbeard isn't in Alabasta and leaves Luffy's crew.","Sun, Feb 17, 2002",6.7
101,102,Iseki to Mayoigo! Vivi to Nakama to Kuni no Katachi,"Luffy, Zoro, and Chopper get lost in the desert.","Sun, Feb 24, 2002",7.0
102,103,Spiders Cafe ni 8-ji Teki Kanbu Shuugou,"Baroke Work's teams 1,2, and 4 meet at the Spider's Cafe to await for the meeting with Mr 0. They are carried to the Rain Dinner casino where Crocodile reveals his identity. Meanwhile, Luffy's crew meets with Toto, Kohza's father.","Sun, Mar 3, 2002",7.3
103,104,Luffy Tai Vivi! Nakama ni Kakeru Namida no Chikai,Luffy and Vivi fight against each other when Luffy says that Vivi's idea to stop the rebellion is naive and the only way to solve the problem in Arabasta is by defeating the Crocodile.,"Sun, Mar 10, 2002",7.9
104,105,Alabasta Sensen! Yume no Machi Rainbase,"Instead of trying to stop the Rebel Army to war against the kingdom's Army, Straw Hat's crew decides to go after Crocodile at Rainbase, only to meet with Smoker and Tashigi once more and fall right into Crocodile's trap.","Sun, Mar 17, 2002",7.8
105,106,Zettai Zetsumei no Wana! Rain Dinners Totsunyuu,"Most of Straw Hat's crew is trapped along with Smoker by Crocodile. Vivi and a royal guardian, Pell, fight against Miss All Sunday.","Sun, Mar 24, 2002",8.1
106,107,Utopia Sakusen Hatsudou! Ugokidashita Uneri,"Operation Utopia is set into motion. With his devil fruit's ability, Mr. 2 impersonates King Cobra and orders the destruction of Nanohana. Enraged, Rebel Army begins to move.","Sun, Apr 14, 2002",8.1
107,108,Kyoufu no Bananawani to Mr. Prince,"Vivi tries desperately to get the key of the cage that traps most of Craw Hat crew from the humongous crocodiles known as Bananawani. Meanwhile, someone contacts Crocodile and introduces himself as Mr. Prince.","Sun, Apr 21, 2002",8.2
108,109,Gyakuten Dai Dasshutsu e no Kagi! Doru-Doru Ball!,"Mr. Prince is actually Sanji, who lures Crocodile out so that he can go in and help the others. He manages to open the cage since using the copy key made from the wax of Mr. 3, who is swallowed by one of the Bananawani.","Sun, Apr 28, 2002",8.4
109,110,Nasake Muyou no Shitou! Luffy vs Crocodile,"After escaping from Rain Dinners, the Straw Hats and Vivi cross the desert to Alubarne, where the final battle will begin.","Sun, May 5, 2002",9.1
110,111,Kiseki e no Shissou! Arabasta Doubutsu Land,"The rest of Straw Hat crew reaches Alubarna, while in Rainbase, Luffy gets stabbed by Crocodile, who leaves him to die. However, the mysterious Miss All Sunday saves Luffy.","Sun, May 12, 2002",7.8
111,112,Hanrangun Tai Kokuougun! Kessen wa Alubarna!,The war between Royal Army and Rebel Army is about to start and Straw Hat crew sets up a plan to stop it.,"Sun, May 19, 2002",8.0
112,113,Nageki no Alubarna! Gekitou Carue Taichou!,"Vivi is standing between Alubarne and incoming Rebel Army to speak with Kohza. But a member of Baroque Work infiltrating the Royal Army interferes by shooting the cannon, sending dust spreading and covering the area. Vivi is nearly trampled, but Karoo sacrifices himself and covers her with his body.","Sun, Jun 2, 2002",7.7
113,114,Nakama no Yume ni Chikau! Kettou Mogurazuka 4-bangai,"Usopp and Chopper struggle against Mr. 4 and Miss Merry Christmas, who attack them from underground and with explosive balls. Scared and badly injured, Usopp tries to flee, but stop immediately when the enemy claims that Luffy is killed by Crocodile.","Sun, Jun 9, 2002",7.8
114,115,Honjitsu Daikoukai! Mane-Mane Montage!,"Though badly injured, Usopp is enraged by Miss Merry Christmas's taunt. Sanji is still engaged in battle against Mr. 2 and they are evenly matched.","Sun, Jun 16, 2002",8.0
115,116,Nami ni Henshin! Bon Clay Renpatsu Ballet Kenpou,"Mr.2 keeps changing into Nami so that Sanji can't attack him, but then Sanji notices that Mr.2 should turn back into himself to use his Kenpo. Vivi decides to save the country by destroying the palace, but then Crocodile appears with the kidnapped King Cobra.","Sun, Jun 23, 2002",7.9
116,117,Nami no Senpuu Chuuihou! Clima Takt Sakuretsu,"It's a fight between Miss Doublefinger and Nami with her new weapon, Clima Tact.","Sun, Jun 30, 2002",7.9
117,118,Ouke ni Tsutawaru Himitsu! Kodai Heiki Pluton,"Nami manages to defeat Miss Doublefinger after several false attempts using her Clima Tact. Meanwhile, Crocodile reveals his true objective, ancient weapon Pluton, that lies somewhere in Alabasta.","Sun, Jul 14, 2002",7.7
118,119,Gouken no Gokui! Koutetsu o Kiru Chikara to Mono no Kokyuu,"Zoro struggles in a fierce battle against Mr. 1, who can turn his body parts into blades. After being injured very badly, Zoro learns that his katana should be able to cut steel in order to win.","Sun, Jul 21, 2002",9.1
119,120,Tatakai wa Owatta! Kooza ga Kakageta Shiroi Hata,"Kohza eavesdrops the conversation between Crocodile and Vivi, and now after knowing the truth, he tries to stop the Rebel Army for attacking by raising a white flag. However, Baroque Work's infiltrator in Royal Army shots him, and Crocodile spreads sand storm everywhere, encouraging the war.","Sun, Aug 4, 2002",7.9
120,121,Vivi no Koe no Yukue! Hero wa Maiorita!,"Crocodile tells Vivi that he sets a bomb that will destroy Alubarna and people within. Then he drops Vivi from the top of the castle, but Luffy and Pell catch her. Luffy once again challenge Crocodile into battle, claiming that now he knows Crocodile's weakness.","Sun, Aug 11, 2002",8.3
121,122,Suna Wani to Mizu Luffy! Kettou Dai 2 Round,"Luffy uses water to fight Crocodile, since water will not let Crocodile turns into sand. Meanwhile, the rest of Straw Hat crew tries to find the location of the bomb. Miss All Sunday, a.k.a Nico Robin, forces King Cobra to show her the location of Pluton.","Sun, Aug 18, 2002",8.8
122,123,Wanippoi! Ouke no Haka e Hashire Luffy!,"After defeating Luffy for the second time, Crocodile joins Nico Robin in the middle of her translating the Poneglyph. Robin admits that the Poneglyph does not mention Pluton at all, and Crocodile stabs her saying that she isn't useful anymore to him.","Sun, Aug 25, 2002",8.1
123,124,Akumu no Toki Semaru! Koko wa Sunasunadan Himitsu Kichi,"After recovering, Luffy fights Crocodile again in the tomb, this time using his blood as water replacement. He gets poisoned but still he fights Crocodile with all his might. Meanwhile, Vivi finally finds out the location of the bomb and tells the others.","Sun, Sep 1, 2002",8.0
124,125,Idainaru Tsubasa! Waga Na wa Kuni no Shugoshin Pell,"Vivi manages to cut the bomb's fuses, but realizes that the bomb has been set to explode at a certain time. Only several seconds left before the bomb explodes, and suddenly, Pell appears, sacrificing himself by taking the bomb up to the sky.","Sun, Sep 8, 2002",9.0
125,126,Koeteiku! Arabasta ni Ame ga Furu!,Luffy fights Crocodile for the final time.,"Sun, Sep 15, 2002",9.4
126,127,Buki yo Saraba! Kaizoku to Ikutsuka no Seigi,The first rain fall in 3 years/The end of the Alabasta War!,"Sun, Oct 6, 2002",8.1
127,128, Kaizoku-tachi no Utage to Arabasta Dasshutsu Sakusen!,"After defeating Crocodile, Luffy's crew is preparing to sail away when they find out that Mr 2 took the Going Merry and is awaiting for them at the Sandora River. He claims to need their friendship.","Sun, Oct 6, 2002",8.0
128,129,Hajimari wa Ano Hi! Vivi ga Kataru Boukentan!,"Vivi gives her speech in front of the people of Alabasta today. At the same time, Straw Hat crew waits for her to come and sail with them. However, the Marine begins to chase them. It turns out that Vivi has Igaram to stand in the podium, while she and Karoo go to the promised location. In front of the crew, and heard by all of Alabasta's people, Vivi states that she loves her country and therefore she can't join Luffy. However, she hopes that they will still think of her as a friend. To prevent the Marine knows her relationship with them, Straw Hat crew answers her by showing their mark of friendship on their arms.","Sun, Oct 20, 2002",9.1
